,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
339,-122.18,37.75,45,330,76.0,282,80,4.0469,80700
340,-122.18,37.75,46,941,218.0,621,195,1.325,87100
341,-122.17,37.75,38,992,,732,259,1.6196,85100
342,-122.18,37.75,45,990,261.0,901,260,2.1731,82000
343,-122.19,37.75,36,1126,263.0,482,150,1.9167,82800
344,-122.18,37.75,43,1036,233.0,652,213,2.069,84600
345,-122.18,37.75,36,1047,214.0,651,166,1.712,82100
346,-122.17,37.76,33,1280,307.0,999,286,2.5625,89300
347,-122.17,37.75,43,1587,320.0,907,306,1.9821,98300
348,-122.17,37.75,41,1257,271.0,828,230,2.5043,92300
349,-122.17,37.75,44,1218,248.0,763,254,2.3281,88800
350,-122.17,37.75,48,1751,390.0,935,349,1.4375,90000
351,-122.16,37.76,45,2299,514.0,1437,484,2.5122,95500
352,-122.16,37.75,38,2457,624.0,1516,482,1.5625,91700
353,-122.17,37.75,47,998,211.0,597,185,3.1587,100400
354,-122.17,37.76,40,1685,343.0,949,342,1.8426,94800
355,-122.16,37.76,46,1827,307.0,881,302,4.6696,164300
356,-122.16,37.76,36,2781,574.0,1438,519,2.4598,155500
363,-122.14,37.75,36,690,105.0,299,109,4.0313,195500
367,-122.13,37.74,41,4400,666.0,1476,648,5.0,248900
368,-122.16,37.75,46,954,161.0,429,154,2.925,142900
369,-122.15,37.75,40,1445,256.0,849,255,3.8913,126300
370,-122.15,37.75,44,1938,399.0,946,331,3.225,135800
371,-122.15,37.74,41,856,178.0,571,191,3.1458,130600
372,-122.16,37.75,24,1790,454.0,1137,386,2.537,107900
373,-122.16,37.75,44,617,131.0,378,135,2.5568,111100
374,-122.15,37.74,43,1383,275.0,853,272,3.5083,122000
375,-122.15,37.74,49,1325,277.0,764,282,3.3125,118000
376,-122.16,37.75,40,1227,294.0,928,261,1.8235,95200
377,-122.16,37.75,35,667,140.0,406,133,3.8047,94300
378,-122.17,37.74,34,1223,281.0,824,280,2.2917,92500
379,-122.17,37.75,37,1379,287.0,835,259,2.4962,91800
380,-122.16,37.74,43,1534,300.0,826,295,4.0417,109400
381,-122.16,37.74,46,1029,181.0,567,211,3.4844,129500
382,-122.16,37.74,52,771,147.0,355,144,4.1458,143400
383,-122.16,37.74,47,824,223.0,533,166,2.625,98200
384,-122.16,37.74,44,1097,239.0,609,215,2.0227,103100
